PDB_ID,H_chain_ID,L_chain_ID,Ag_chain_ID(s),Ab_type,Ag_species,Ag_mol_name(s),Resolution,KD_nM,neg_log10_KD,Affinity_method,antigen_group
8t4a,H,L,A,VH:VL,human immunodeficiency virus 1,md65 n332-gt5 sosip gp120,3.4,0.038,1.4202164033831899,SPR,human-immunodeficiency-virus-1/md65-n332-gt5-sosip-gp120
8t7a,D,E,a,VH:VL,respiratory syncytial virus,fusion glycoprotein f1,2.8,4.2,-0.6232492903979004,SPR,respiratory-syncytial-virus/fusion-glycoprotein-f1
8t9z,H,L,A,FabH:FabL,human metapneumovirus,fusion glycoprotein f0,3.0,1.2,-0.07918124604762482,SPR,human-metapneumovirus/fusion-glycoprotein-f0
8tfn,H,L,B,FabH:FabL,homo sapiens,trbv6-5,2.54,1.8,-0.25527250510330607,SPR,homo-sapiens/trbv6-5
8tnt,E,D,A;B,FabH:FabL,epstein-barr virus;epstein-barr virus,envelope glycoprotein h;envelope glycoprotein l,3.15,2.05,-0.31175386105575426,BLI,epstein-barr-virus/envelope-glycoprotein-h;envelope-glycoprotein-l
8tpa,D,E,C,VH:VL,influenza a virus (a/new caledonia/20/1999(h1n1)),hemagglutinin ha1 chain,3.0,0.297,0.5272435506827877,BLI,influenza-a-virus/hemagglutinin-ha1-chain
8uky,B,A,D,FabH:FabL,homo sapiens,bcl-2 homologous antagonist/killer,2.4,10.0,-1.0,SPR,homo-sapiens/bcl-2-homologous-antagonist-killer
8w9j,B,A,D,FabH:FabL,homo sapiens,c-type lectin domain family 12 member a,3.5,70.0,-1.845098040014257,SPR,homo-sapiens/c-type-lectin-domain-family-12-member-a
8x0t,H,L,A,FabH:FabL,homo sapiens,frizzled-8,2.5,14.21,-1.1525940779274697,SPR,homo-sapiens/frizzled-8
8yx1,A,B,C,FabH:FabL,homo sapiens,tumor necrosis factor receptor superfamily member 5,2.7,0.69,0.16115090926274472,SPR,homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-5
8yx9,B,C,J,FabH:FabL,homo sapiens,tumor necrosis factor receptor superfamily member 5,2.8,3.4,-0.5314789170422551,SPR,homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-5
