PDB_ID,H_chain_ID,L_chain_ID,Ag_chain_ID(s),Ab_type,Ag_species,Ag_mol_name(s),Resolution,KD_nM,neg_log10_KD,Affinity_method,antigen_group
7lr3,A,B,C,FabH:FabL,plasmodium berghei,hapless 2,2.8,7.8,-0.8920946026904804,SPR,plasmodium-berghei/hapless-2
7lr4,A,B,C,FabH:FabL,plasmodium berghei,hapless 2,2.1,5.5,-0.7403626894942439,SPR,plasmodium-berghei/hapless-2
7luc,D,E,C,VH:VL,respiratory syncytial virus,fusion glycoprotein f0,3.21,0.0057,2.2441251443275085,BLI,respiratory-syncytial-virus/fusion-glycoprotein-f0
7luc,J,K,A,VH:VL,respiratory syncytial virus,fusion glycoprotein f0,3.21,0.025,1.6020599913279623,BLI,respiratory-syncytial-virus/fusion-glycoprotein-f0
7lvw,G,N.A.,A,VHH,respiratory syncytial virus,fusion glycoprotein f0,2.1,0.084,1.0757207139381184,SPR,respiratory-syncytial-virus/fusion-glycoprotein-f0
7lxy,G,I,B,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.2,1.8,-0.25527250510330607,BLI,sars-cov-2_spike
7lxz,G,I,B,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.6,0.3,0.5228787452803376,BLI,sars-cov-2_spike
7ly2,G,I,B,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.5,8.7,-0.9395192526186185,BLI,sars-cov-2_spike
7ly3,D,C,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,3.0,8.7,-0.9395192526186185,BLI,sars-cov-2_spike
7m7w,C,D,S,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.65,0.04,1.3979400086720375,SPR,sars-cov-2_spike
7m8j,H,L,A,VH:VL,severe acute respiratory syndrome coronavirus 2,spike protein s1,3.48,9.4,-0.9731278535996987,BLI,sars-cov-2_spike
7mdu,H,L,A,VH:VL,human immunodeficiency virus 1,surface protein gp120,3.3,890.0,-2.949390006644913,BLI,human-immunodeficiency-virus-1/surface-protein-gp120
7mep,H,L,A,VH:VL,human immunodeficiency virus,bg505 sosipv5.2(7s) - gp120,3.5,180.0,-2.255272505103306,BLI,human-immunodeficiency-virus/bg505-sosipv5-2-7s-gp120
7mfu,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.7,13.8,-1.1398790864012365,SPR,sars-cov-2_spike
7mfu,C,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.7,62.7,-1.7972675408307164,SPR,sars-cov-2_spike
7mlh,C,A,F,FabH:FabL,dermatophagoides pteronyssinus,der p 2 variant 3,2.1,0.474,0.324221658325915,SPR,dermatophagoides-pteronyssinus/der-p-2-variant-3
7mxl,A,B,C,FabH:FabL,betula pendula,major pollen allergen bet v 1-a,3.2,0.475,0.3233063903751335,SPR,betula-pendula/major-pollen-allergen-bet-v-1-a
7mxl,H,L,C,FabH:FabL,betula pendula,major pollen allergen bet v 1-a,3.2,3.24,-0.5105450102066121,SPR,betula-pendula/major-pollen-allergen-bet-v-1-a
7mxl,J,K,C,FabH:FabL,betula pendula,major pollen allergen bet v 1-a,3.2,1.81,-0.25767857486918455,SPR,betula-pendula/major-pollen-allergen-bet-v-1-a
7n0a,B,A,C,FabH:FabL,homo sapiens,leukemia inhibitory factor,3.1,0.074,1.1307682802690238,SPR,homo-sapiens/leukemia-inhibitory-factor
7n0r,C,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,nucleoprotein,1.42,1.1,-0.04139268515822508,SPR,sars-cov-2_spike
7n0u,H,L,C,FabH:FabL,betula pendula,recombinant bet v 1,3.0,0.475,0.3233063903751335,SPR,betula-pendula/recombinant-bet-v-1
7n8q,C,D,A,FabH:FabL,human immunodeficiency virus 1,clade a/e 93th057 hiv-1 gp120 core,2.9,2.54,-0.40483371661993806,SPR,human-immunodeficiency-virus-1/clade-a-e-93th057-hiv-1-gp120-core
7neg,H,L,E,FabH:FabL,severe acute respiratory syndrome coronavirus 2,surface glycoprotein,2.19,2.2,-0.3424226808222063,BLI,sars-cov-2_spike
7neh,H,L,E,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,1.77,2.2,-0.3424226808222063,BLI,sars-cov-2_spike
7nkt,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.3,3.66,-0.5634810853944107,BLI,sars-cov-2_spike
7nmu,C,N.A.,B,VHH,homo sapiens,platelet glycoprotein vi,2.5,0.57,0.24412514432750865,SPR,homo-sapiens/platelet-glycoprotein-vi
7nqk,B,N.A.,A,VHH,rattus norvegicus,solute carrier family 15 member 2,3.5,26.3,-1.4199557484897578,BLI,rattus-norvegicus/solute-carrier-family-15-member-2
7nvl,N,N.A.,E,VHH,homo sapiens,t-complex protein 1 subunit epsilon,2.5,86.0,-1.9344984512435677,BLI,homo-sapiens/t-complex-protein-1-subunit-epsilon
7o52,H,L,U,FabH:FabL,homo sapiens,cd22 d6-d7 ig domains,2.41,24.8,-1.3944516808262164,BLI,homo-sapiens/cd22-d6-d7-ig-domains
7oao,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.5,0.099,1.00436480540245,SPR,sars-cov-2_spike
7oaq,A,N.A.,B,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.55,0.725,0.13966199342900631,SPR,sars-cov-2_spike
7oaq,C,N.A.,B,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.55,0.102,0.9913998282380825,SPR,sars-cov-2_spike
7oau,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.65,2.523,-0.40191725051757465,SPR,sars-cov-2_spike
7olz,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.75,4.0,-0.6020599913279624,BLI,sars-cov-2_spike
7olz,C,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.75,0.002,2.6989700043360187,BLI,sars-cov-2_spike
7ox1,A,B,G,FabH:FabL,homo sapiens,interleukin-9,2.49,1.81,-0.25767857486918455,BLI,homo-sapiens/interleukin-9
7ox2,A,L,T,FabH:FabL,homo sapiens,interleukin-9,3.34,0.24,0.619788758288394,BLI,homo-sapiens/interleukin-9
7ox3,A,B,C,FabH:FabL,homo sapiens,interleukin-9,1.7,0.13,0.8860566476931633,BLI,homo-sapiens/interleukin-9
7phw,B,C,A,FabH:FabL,plasmodium falciparum (isolate 3d7),cysteine-rich protective antigen,2.79,2800.0,-3.4471580313422194,SPR,plasmodium-falciparum/cysteine-rich-protective-antigen
7pi2,B,C,A,FabH:FabL,plasmodium falciparum (isolate 3d7),cysteine-rich protective antigen,3.14,38.0,-1.5797835966168101,SPR,plasmodium-falciparum/cysteine-rich-protective-antigen
7pi7,B,C,A,FabH:FabL,plasmodium falciparum (isolate 3d7),cysteine-rich protective antigen,2.72,0.94,0.026872146400301365,SPR,plasmodium-falciparum/cysteine-rich-protective-antigen
7q6c,H,L,A,FabH:FabL,homo sapiens,complement component c6,2.29,2.8,-0.4471580313422192,BLI,homo-sapiens/complement-component-c6
7qf0,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.3,280.0,-2.4471580313422194,SPR,sars-cov-2_spike
7qnw,A,B,E,FabH:FabL,severe acute respiratory syndrome coronavirus 2,surface glycoprotein,2.4,0.199,0.7011469235902933,SPR,sars-cov-2_spike
7qnw,H,L,E,FabH:FabL,severe acute respiratory syndrome coronavirus 2,surface glycoprotein,2.4,7.5,-0.8750612633917001,SPR,sars-cov-2_spike
7quh,H,L,A,FabH:FabL,homo sapiens,sialic acid-binding ig-like lectin 8,2.87,0.464,0.3334820194451191,BLI,homo-sapiens/sialic-acid-binding-ig-like-lectin-8
7r58,H,L,A,FabH:FabL,homo sapiens,platelet glycoprotein vi,1.9,12.6,-1.100370545117563,SPR,homo-sapiens/platelet-glycoprotein-vi
7r6w,A,B,R,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.83,0.2,0.6989700043360187,SPR,sars-cov-2_spike
